WO_STA_Work_Start;WO_END_Work_End;WO_NAM_Work_Name;WO_USR_Work_InvocationUser;WO_ROL_Work_InvocationRole;WO_EST_EST_ExecutionStatus;WO_ERL_Work_ErrorLine;WO_ERM_Work_ErrorMessage;WO_AID_Work_AgentStepId;JB_STA_Job_Start;JB_END_Job_End;JB_NAM_Job_Name;JB_EST_EST_ExecutionStatus;JB_AID_Job_AgentJobId;CF_NAM_Configuration_Name;CF_XML_Checksum;CF_TYP_CFT_ConfigurationType;src_Container_Name;src_ContainerType;src_Container_Discovered;src_Container_Created;trg_Container_Name;trg_ContainerType;trg_Container_Discovered;trg_Container_Created
2017-03-01 13:31:30.5112489;NULL;lST_Street__NYPD_Vehicle_Collision_Typed;NT SERVICE\SQLSERVERAGENT;dbo;Running;NULL;NULL;2;2017-03-01 13:31:30.2768555;2017-03-01 13:31:30.7456519;NYPD_Vehicle_Loading;Failure;664D8D13-9999-45F8-915A-F6E2A13A86E4;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lST_Street;Table;2017-03-03 12:10:13.777;2017-03-01 13:31:30.637
2017-03-01 14:16:15.9554054;NULL;lST_Street__NYPD_Vehicle_Collision_Typed;NT SERVICE\SQLSERVERAGENT;dbo;Running;NULL;NULL;2;2017-03-01 14:16:15.8708601;2017-03-01 14:16:16.0239306;NYPD_Vehicle_Loading;Failure;A9E3BC84-6400-45D3-9FF8-25654A0E3D97;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lST_Street;Table;2017-03-03 12:10:13.777;2017-03-01 13:31:30.637
2017-03-01 14:16:45.3672767;2017-03-01 14:16:45.4346988;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:16:37.1655794;2017-03-01 14:16:48.3757536;NYPD_Vehicle_Staging;Success;7290C6E3-DC68-4F25-9E25-28FD5CE064DD;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201405_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.500;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:16:45.4503257;2017-03-01 14:16:45.4877152;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:16:37.1655794;2017-03-01 14:16:48.3757536;NYPD_Vehicle_Staging;Success;7290C6E3-DC68-4F25-9E25-28FD5CE064DD;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201406_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.537;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:16:45.5033118;2017-03-01 14:16:45.5502244;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:16:37.1655794;2017-03-01 14:16:48.3757536;NYPD_Vehicle_Staging;Success;7290C6E3-DC68-4F25-9E25-28FD5CE064DD;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201407_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.577;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:16:45.5678307;2017-03-01 14:16:45.6505246;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:16:37.1655794;2017-03-01 14:16:48.3757536;NYPD_Vehicle_Staging;Success;7290C6E3-DC68-4F25-9E25-28FD5CE064DD;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201408_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.673;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:16:46.2727602;2017-03-01 14:16:48.3076288;NYPD_Vehicle_SplitRawIntoTyped;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;9;2017-03-01 14:16:37.1655794;2017-03-01 14:16:48.3757536;NYPD_Vehicle_Staging;Success;7290C6E3-DC68-4F25-9E25-28FD5CE064DD;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;NYPD_Vehicle_Collision_Split;View;2017-03-03 12:07:44.957;2017-03-01 14:16:46.273;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637
2017-03-01 14:16:58.3291053;NULL;lST_Street__NYPD_Vehicle_Collision_Typed;NT SERVICE\SQLSERVERAGENT;dbo;Running;NULL;NULL;2;2017-03-01 14:16:58.2822264;2017-03-01 14:16:58.3669238;NYPD_Vehicle_Loading;Failure;A9E3BC84-6400-45D3-9FF8-25654A0E3D97;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lST_Street;Table;2017-03-03 12:10:13.777;2017-03-01 13:31:30.637
2017-03-01 14:34:23.1241257;2017-03-01 14:34:23.1605186;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:34:15.6561211;2017-03-01 14:34:25.6589580;NYPD_Vehicle_Staging;Success;6C4E5CD8-CC91-47FF-A813-D372FCC752F6;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201405_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.500;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:34:23.1716818;2017-03-01 14:34:23.2063313;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:34:15.6561211;2017-03-01 14:34:25.6589580;NYPD_Vehicle_Staging;Success;6C4E5CD8-CC91-47FF-A813-D372FCC752F6;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201406_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.537;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:34:23.2103761;2017-03-01 14:34:23.2436974;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:34:15.6561211;2017-03-01 14:34:25.6589580;NYPD_Vehicle_Staging;Success;6C4E5CD8-CC91-47FF-A813-D372FCC752F6;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201407_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.577;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:34:23.2477076;2017-03-01 14:34:23.3230154;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:34:15.6561211;2017-03-01 14:34:25.6589580;NYPD_Vehicle_Staging;Success;6C4E5CD8-CC91-47FF-A813-D372FCC752F6;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201408_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.673;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
2017-03-01 14:34:23.9781842;2017-03-01 14:34:25.6114175;NYPD_Vehicle_SplitRawIntoTyped;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;9;2017-03-01 14:34:15.6561211;2017-03-01 14:34:25.6589580;NYPD_Vehicle_Staging;Success;6C4E5CD8-CC91-47FF-A813-D372FCC752F6;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;NYPD_Vehicle_Collision_Split;View;2017-03-03 12:07:44.957;2017-03-01 14:16:46.273;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637
2017-03-01 14:34:32.5380734;2017-03-01 14:34:32.7962271;lST_Street__NYPD_Vehicle_Collision_Typed;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;2;2017-03-01 14:34:32.3883292;2017-03-01 14:34:39.2872666;NYPD_Vehicle_Loading;Success;0E4B4CBD-3078-435B-87A9-67093018B520;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lST_Street;Table;2017-03-03 12:10:13.777;2017-03-01 13:31:30.637
2017-03-01 14:34:32.8369985;2017-03-01 14:34:34.8783582;lIS_Intersection__NYPD_Vehicle_Collision_Typed__1;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;3;2017-03-01 14:34:32.3883292;2017-03-01 14:34:39.2872666;NYPD_Vehicle_Loading;Success;0E4B4CBD-3078-435B-87A9-67093018B520;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lIS_Intersection;Table;2017-03-03 12:10:13.920;2017-03-01 14:34:32.840
2017-03-01 14:34:34.9070856;2017-03-01 14:34:37.5124159;lST_intersecting_IS_of_ST_crossing__NYPD_Vehicle_Collision_Typed;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;4;2017-03-01 14:34:32.3883292;2017-03-01 14:34:39.2872666;NYPD_Vehicle_Loading;Success;0E4B4CBD-3078-435B-87A9-67093018B520;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lST_intersecting_IS_of_ST_crossing;Table;2017-03-03 12:10:13.890;2017-03-01 14:34:34.910
2017-03-01 14:34:37.5900961;2017-03-01 14:34:39.2687099;lIS_Intersection__NYPD_Vehicle_Collision_Typed__2;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:34:32.3883292;2017-03-01 14:34:39.2872666;NYPD_Vehicle_Loading;Success;0E4B4CBD-3078-435B-87A9-67093018B520;Traffic;0x19078D92849BAAF24B9B0285144DAC8E;Target;NYPD_Vehicle_Collision_Typed;Table;2017-03-03 12:10:13.920;2017-03-01 13:31:30.637;lIS_Intersection;Table;2017-03-03 12:10:13.920;2017-03-01 14:34:32.840
2017-03-01 14:36:57.4975347;2017-03-01 14:36:57.5248965;NYPD_Vehicle_BulkInsert;NT SERVICE\SQLSERVERAGENT;dbo;Success;NULL;NULL;5;2017-03-01 14:36:50.4120723;2017-03-01 14:37:00.2666586;NYPD_Vehicle_Staging;Success;6C4E5CD8-CC91-47FF-A813-D372FCC752F6;Vehicle;0x3DC8A684B2636D43FBD6851F8254FF15;Source;C:\dev\osbi\sisula-ETL\Example\data\work\201405_Collisions_Manhattan.csv;File;2017-03-01 14:36:57.500;2016-05-02 14:41:39.000;NYPD_Vehicle_Insert;View;2017-03-03 12:07:42.707;2017-03-01 14:16:45.370
